2025-04-22 01:20:33,537 - DEBUG    - memory.longterm - LongTermMemoryFile initialized.
2025-04-22 01:21:27,171 - INFO     - memory.vector   - Retrieved 1 relevant memories for query.
2025-04-22 01:21:27,171 - DEBUG    - memory.vector   - --- VectorMemory: retrieve_relevant_memories finished ---
2025-04-22 01:22:33,381 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory called ---
2025-04-22 01:22:33,382 - DEBUG    - memory.dynamic  - Input memory: 'User: 'I... I'm really sorry... I didn't want to be... Be like that... Im really sorry...'. Poppy: '...'
2025-04-22 01:22:33,382 - DEBUG    - memory.dynamic  - Current dynamic memory state (before add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."]
2025-04-22 01:22:33,382 - DEBUG    - memory.dynamic  - Relevance check for 'User: 'I... I'm really sorry... I didn't want to b...': True
2025-04-22 01:22:33,382 - DEBUG    - memory.dynamic  - Is new memory relevant? True
2025-04-22 01:22:33,382 - DEBUG    - memory.dynamic  - Is memory already in active? False
2025-04-22 01:22:33,382 - DEBUG    - memory.dynamic  - Dynamic memory state (after add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]']
2025-04-22 01:22:33,383 - DEBUG    - memory.dynamic  - Proposing relevant memory to active: 'User: 'I... I'm really sorry... I didn't want to be... Be like that......'
2025-04-22 01:22:33,383 - DEBUG    - memory.active   - --- ActiveMemory: add_memory called ---
2025-04-22 01:22:33,383 - DEBUG    - memory.active   - Input memory: 'User: 'I... I'm really sorry... I didn't want to be... Be like that... Im really sorry...'. Poppy: '...'
2025-04-22 01:22:33,383 - DEBUG    - memory.active   - Current active memory state (before add, size 1): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."]
2025-04-22 01:22:33,383 - INFO     - memory.active   - Added to active memory: 'User: 'I... I'm really sorry... I didn't want to be... Be like that......'
2025-04-22 01:22:33,383 - DEBUG    - memory.active   - Active memory state (after add, size 2): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]']
2025-04-22 01:22:33,383 - DEBUG    - memory.active   - Message count incremented to: 2
2025-04-22 01:22:33,383 - DEBUG    - memory.active   - --- ActiveMemory: add_memory finished ---
2025-04-22 01:22:33,383 - INFO     - memory.dynamic  - Added to dynamic: 'User: 'I... I'm really sorry... I didn't want to be... Be like that......' | Proposed relevant to active.
2025-04-22 01:22:33,383 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory finished ---
2025-04-22 01:22:33,383 - DEBUG    - memory.vector   - --- VectorMemory: add_memory called ---
2025-04-22 01:22:33,383 - DEBUG    - memory.vector   - Input text: 'User: 'I... I'm really sorry... I didn't want to be... Be like that... Im really sorry...'
Poppy: '*...'
2025-04-22 01:22:33,383 - DEBUG    - memory.vector   - Metadata: {'timestamp': 1745306553.383802, 'roleplay_time': '2025-04-16T14:05:47.143787', 'location': 'Science class', 'action': 'Waiting before the project discussion', 'topic': 'Personal/Emotional Discussion', 'emotions': {'vulnerability': 0.16, 'connection': 0.11, 'autonomy': 0.96, 'validation': 0.29, 'authenticity': 0.36, 'psychological_safety': 0.2, 'grieving': 0.02, 'joy': 0.2, 'anger': 0.51, 'fear': 0.73, 'shame': 0.76, 'anticipation': 0.2, 'disgust': 0.11}, 'fatigue': 100.0, 'is_sleeping': False}
2025-04-22 01:22:33,573 - DEBUG    - memory.vector   - Generated embedding shape: (1, 384)
2025-04-22 01:22:33,574 - INFO     - memory.vector   - Added memory ID 1 to store and FAISS index. Index size: 2
2025-04-22 01:22:33,574 - DEBUG    - memory.vector   - --- VectorMemory: add_memory finished ---
2025-04-22 01:22:33,574 - DEBUG    - memory.logic_interface - Setting last narrative action in DynamicMemory: *Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It's okay. Let's just move on."*
2025-04-22 01:22:33,574 - DEBUG    - memory.dynamic  - Updated last_narrative_action from '*Is waiting impatiently.*' to '*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It's okay. Let's just move on."*'
2025-04-22 01:24:23,569 - DEBUG    - memory.dynamic  - Returning current dynamic state: {'location': 'Science class', 'action': 'Waiting before the project discussion', 'recent_memories': 'System Context: Background: Lin fell asleep at Poppy\'s house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work. | User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]'}
2025-04-22 01:24:23,569 - DEBUG    - memory.vector   - --- VectorMemory: retrieve_relevant_memories called ---
2025-04-22 01:24:23,569 - DEBUG    - memory.vector   - Query text: 'Before you came to class, I talked with the teacher, she let us give her the project in two days... ...'
2025-04-22 01:24:23,569 - DEBUG    - memory.vector   - k: 5, threshold: None
2025-04-22 01:24:23,633 - DEBUG    - memory.vector   - Query embedding shape: (1, 384)
2025-04-22 01:24:23,633 - DEBUG    - memory.vector   - Searching FAISS index with k=2
2025-04-22 01:24:23,635 - DEBUG    - memory.vector   - FAISS search results - Distances: [[1.3622354 1.490489 ]], IDs: [[1 0]]
2025-04-22 01:24:23,635 - DEBUG    - memory.vector   - Retrieved relevant memory ID 1 with distance 1.362235426902771
2025-04-22 01:24:23,635 - DEBUG    - memory.vector   - Retrieved relevant memory ID 0 with distance 1.4904890060424805
2025-04-22 01:24:23,636 - INFO     - memory.vector   - Retrieved 2 relevant memories for query.
2025-04-22 01:24:23,636 - DEBUG    - memory.vector   - --- VectorMemory: retrieve_relevant_memories finished ---
2025-04-22 01:25:17,218 - INFO     - memory.dynamic  - Dynamic current_action updating from 'Waiting before the project discussion' to 'Talking'
2025-04-22 01:25:17,219 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory called ---
2025-04-22 01:25:17,219 - DEBUG    - memory.dynamic  - Input memory: 'User: 'Before you came to class, I talked with the teacher, she let us give her the project in two d...'
2025-04-22 01:25:17,219 - DEBUG    - memory.dynamic  - Current dynamic memory state (before add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]']
2025-04-22 01:25:17,219 - DEBUG    - memory.dynamic  - Relevance check for 'User: 'Before you came to class, I talked with the...': True
2025-04-22 01:25:17,219 - DEBUG    - memory.dynamic  - Is new memory relevant? True
2025-04-22 01:25:17,220 - DEBUG    - memory.dynamic  - Is memory already in active? False
2025-04-22 01:25:17,220 - DEBUG    - memory.dynamic  - Dynamic memory state (after add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]', "User: 'Before you came to class, I talked with the teacher, she let us give her the project in two days... Or it was three? Anyway, we have more time *I smile softly looking at you*'. Poppy: '*Poppy gives a faint, forced smile, her eyes briefly meeting Lin's before flickering away, her hands fidgeting nervously with the edge of her notebook*\n\nWell, that's a relief. I guess we have a bit more time to salvage this mess. So, what exactly did you tell her? Did you mention why we're behind? Because I'm not keen on looking like the bad guy here.'. [Loc: Science class] [Act: Talking] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Powerless, Fearful, Inauthentic, Joyful, Isolated, Fatigued, Invalidated] [Fatigue: 100.0] [Sleeping: False]"]
2025-04-22 01:25:17,220 - DEBUG    - memory.dynamic  - Proposing relevant memory to active: 'User: 'Before you came to class, I talked with the teacher, she let us...'
2025-04-22 01:25:17,220 - DEBUG    - memory.active   - --- ActiveMemory: add_memory called ---
2025-04-22 01:25:17,220 - DEBUG    - memory.active   - Input memory: 'User: 'Before you came to class, I talked with the teacher, she let us give her the project in two d...'
2025-04-22 01:25:17,220 - DEBUG    - memory.active   - Current active memory state (before add, size 2): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]']
2025-04-22 01:25:17,220 - INFO     - memory.active   - Added to active memory: 'User: 'Before you came to class, I talked with the teacher, she let us...'
2025-04-22 01:25:17,220 - DEBUG    - memory.active   - Active memory state (after add, size 3): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]', "User: 'Before you came to class, I talked with the teacher, she let us give her the project in two days... Or it was three? Anyway, we have more time *I smile softly looking at you*'. Poppy: '*Poppy gives a faint, forced smile, her eyes briefly meeting Lin's before flickering away, her hands fidgeting nervously with the edge of her notebook*\n\nWell, that's a relief. I guess we have a bit more time to salvage this mess. So, what exactly did you tell her? Did you mention why we're behind? Because I'm not keen on looking like the bad guy here.'. [Loc: Science class] [Act: Talking] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Powerless, Fearful, Inauthentic, Joyful, Isolated, Fatigued, Invalidated] [Fatigue: 100.0] [Sleeping: False]"]
2025-04-22 01:25:17,220 - DEBUG    - memory.active   - Message count incremented to: 3
2025-04-22 01:25:17,220 - DEBUG    - memory.active   - --- ActiveMemory: add_memory finished ---
2025-04-22 01:25:17,220 - INFO     - memory.dynamic  - Added to dynamic: 'User: 'Before you came to class, I talked with the teacher, she let us...' | Proposed relevant to active.
2025-04-22 01:25:17,220 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory finished ---
2025-04-22 01:25:17,221 - DEBUG    - memory.vector   - --- VectorMemory: add_memory called ---
2025-04-22 01:25:17,221 - DEBUG    - memory.vector   - Input text: 'User: 'Before you came to class, I talked with the teacher, she let us give her the project in two d...'
2025-04-22 01:25:17,221 - DEBUG    - memory.vector   - Metadata: {'timestamp': 1745306717.2210205, 'roleplay_time': '2025-04-16T14:13:58.658832', 'location': 'Science class', 'action': 'Talking', 'topic': 'Personal/Emotional Discussion', 'emotions': {'vulnerability': 0.07, 'connection': 0.06, 'autonomy': -0.17, 'validation': 0.28, 'authenticity': 0.24, 'psychological_safety': 0.2, 'grieving': 0.06, 'joy': 0.69, 'anger': 0.23, 'fear': 0.84, 'shame': 1.0, 'anticipation': 0.22, 'disgust': 0.1}, 'fatigue': 100.0, 'is_sleeping': False}
2025-04-22 01:25:17,274 - DEBUG    - memory.vector   - Generated embedding shape: (1, 384)
2025-04-22 01:25:17,274 - INFO     - memory.vector   - Added memory ID 2 to store and FAISS index. Index size: 3
2025-04-22 01:25:17,274 - DEBUG    - memory.vector   - --- VectorMemory: add_memory finished ---
2025-04-22 01:25:17,274 - DEBUG    - memory.logic_interface - Setting last narrative action in DynamicMemory: *Poppy gives a faint, forced smile, her eyes briefly meeting Lin's before flickering away, her hands fidgeting nervously with the edge of her notebook*
2025-04-22 01:25:17,274 - DEBUG    - memory.dynamic  - Updated last_narrative_action from '*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It's okay. Let's just move on."*' to '*Poppy gives a faint, forced smile, her eyes briefly meeting Lin's before flickering away, her hands fidgeting nervously with the edge of her notebook*'
2025-04-22 01:27:41,385 - INFO     - memory.vector   - Saving FAISS index to memory_index.faiss and data to memory_data.json...
2025-04-22 01:27:41,386 - DEBUG    - memory.vector   - Writing FAISS index with 3 vectors.
2025-04-22 01:27:41,390 - INFO     - memory.vector   - Memory saved successfully.
2025-04-23 00:11:57,481 - DEBUG    - memory.longterm - LongTermMemoryFile initialized.
2025-04-23 00:11:57,481 - DEBUG    - memory.active   - ActiveMemoryFile initialized. Threshold: 25, Summary Size: 5
2025-04-23 00:11:57,481 - DEBUG    - memory.dynamic  - DynamicMemory initialized. Location: Science class, Action: Waiting before the project discussion, Last Narrative: *Is waiting impatiently.*
2025-04-23 00:11:59,541 - INFO     - memory.vector   - Initializing VectorMemoryStore...
2025-04-23 00:12:01,514 - INFO     - memory.vector   - Loaded SentenceTransformer model: all-MiniLM-L6-v2
2025-04-23 00:12:01,514 - INFO     - memory.vector   - Inferred embedding dimension: 384
2025-04-23 00:12:01,515 - INFO     - memory.vector   - Initialized FAISS IndexIDMap with IndexFlatL2 (dim=384)
2025-04-23 00:12:01,515 - INFO     - memory.vector   - VectorMemoryStore initialized successfully.
2025-04-23 00:12:01,515 - INFO     - memory.vector   - Attempting to load FAISS index from memory_index.faiss and data from memory_data.json...
2025-04-23 00:12:01,527 - INFO     - memory.vector   - Loaded FAISS index. Size: 3
2025-04-23 00:12:01,528 - INFO     - memory.vector   - Loaded memory data (3 items). Next ID: 3
2025-04-23 00:12:01,528 - INFO     - memory.vector   - Index and data sizes match.
2025-04-23 00:12:01,530 - DEBUG    - memory.vector   - --- VectorMemory: add_memory called ---
2025-04-23 00:12:01,530 - DEBUG    - memory.vector   - Input text: 'Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Scienc...'
2025-04-23 00:12:01,530 - DEBUG    - memory.vector   - Metadata: {'timestamp': 1745388721.530802, 'roleplay_time': '2025-04-16T14:00:00', 'location': 'Science class', 'action': 'Talking', 'topic': 'Initial Setup / Project Discussion', 'type': 'system_context'}
2025-04-23 00:12:01,664 - DEBUG    - memory.vector   - Generated embedding shape: (1, 384)
2025-04-23 00:12:01,665 - INFO     - memory.vector   - Added memory ID 3 to store and FAISS index. Index size: 4
2025-04-23 00:12:01,665 - DEBUG    - memory.vector   - --- VectorMemory: add_memory finished ---
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - --- DynamicMemory: add_memory called ---
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - Input memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They a...'
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - Current dynamic memory state (before add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]', "User: 'Before you came to class, I talked with the teacher, she let us give her the project in two days... Or it was three? Anyway, we have more time *I smile softly looking at you*'. Poppy: '*Poppy gives a faint, forced smile, her eyes briefly meeting Lin's before flickering away, her hands fidgeting nervously with the edge of her notebook*\n\nWell, that's a relief. I guess we have a bit more time to salvage this mess. So, what exactly did you tell her? Did you mention why we're behind? Because I'm not keen on looking like the bad guy here.'. [Loc: Science class] [Act: Talking] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Powerless, Fearful, Inauthentic, Joyful, Isolated, Fatigued, Invalidated] [Fatigue: 100.0] [Sleeping: False]"]
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - Relevance check for 'System Context: Background: Lin fell asleep at Pop...': True
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - Is new memory relevant? True
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - Is memory already in active? False
2025-04-23 00:12:01,665 - DEBUG    - memory.dynamic  - Dynamic memory state (after add): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work.", 'User: \'I... I\'m really sorry... I didn\'t want to be... Be like that... Im really sorry...\'. Poppy: \'*Poppy avoids eye contact, her shoulders tense as she quietly murmurs, "It\'s okay. Let\'s just move on."*\n\nYou know, I appreciate the apology, but let\'s just focus on what we need to do now. We have a project to complete, and I\'m not about to let your... issues hold us back. So, what\'s the plan? Let\'s get this over with.\'. [Loc: Science class] [Act: Waiting before the project discussion] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Fearful, In Control, Inauthentic, Isolated, Invalidated] [Fatigue: 100.0] [Sleeping: False]', "User: 'Before you came to class, I talked with the teacher, she let us give her the project in two days... Or it was three? Anyway, we have more time *I smile softly looking at you*'. Poppy: '*Poppy gives a faint, forced smile, her eyes briefly meeting Lin's before flickering away, her hands fidgeting nervously with the edge of her notebook*\n\nWell, that's a relief. I guess we have a bit more time to salvage this mess. So, what exactly did you tell her? Did you mention why we're behind? Because I'm not keen on looking like the bad guy here.'. [Loc: Science class] [Act: Talking] [Topic: Personal/Emotional Discussion] [Pending: None] [Emo: Unsafe, Ashamed, Powerless, Fearful, Inauthentic, Joyful, Isolated, Fatigued, Invalidated] [Fatigue: 100.0] [Sleeping: False]", "System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."]
2025-04-23 00:12:01,666 - DEBUG    - memory.dynamic  - Proposing relevant memory to active: 'System Context: Background: Lin fell asleep at Poppy's house yesterday...'
2025-04-23 00:12:01,666 - DEBUG    - memory.active   - --- ActiveMemory: add_memory called ---
2025-04-23 00:12:01,666 - DEBUG    - memory.active   - Input memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They a...'
2025-04-23 00:12:01,666 - DEBUG    - memory.active   - Current active memory state (before add, size 0): []
2025-04-23 00:12:01,666 - INFO     - memory.active   - Added to active memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday...'
2025-04-23 00:12:01,666 - DEBUG    - memory.active   - Active memory state (after add, size 1): ["System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They are now in Science Class. Poppy is irritated about the extra work."]
2025-04-23 00:12:01,666 - DEBUG    - memory.active   - Message count incremented to: 1
2025-04-23 00:12:01,666 - DEBUG    - memory.active   - --- ActiveMemory: add_memory finished ---
2025-04-23 00:12:01,666 - DEBUG    - memory.dynamic  - Popped oldest memory: 'System Context: Background: Lin fell asleep at Poppy's house yesterday, missing project work. They a...'
